policy_id,ref_num,url,error,file_type,expected_filename,saved
211000141,2,http://repiica.iica.int/docs/B3218E/B3218E.PDF,"HTTPConnectionPool(host='repiica.iica.int', port=80): Max retries exceeded with url: /docs/B3218E/B3218E.PDF (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x00000232EFAA0250>: Failed to resolve 'repiica.iica.int' ([Errno 11001] getaddrinfo failed)""))",,211000141_ref2,False
211000142,1,http://www.env.go.jp/en/chemi/pops/Appendix/05-Laws/agri-chem-laws.pdf,,pdf,211000142_ref1,True
211000143,1,http://faolex.fao.org/cgi-bin/faolex.exe?rec_id=015558&database=faolex&search_type=link&table=result&lang=eng&format_name=@ERALL,,html,211000143_ref1,True
211000144,1,https://www.iea.org/policies/7460-agricultural-demand-side-management-agdsm-programme?country=India&page=5&qs=indi,429 Client Error: Too Many Requests for url: https://www.iea.org/policies/7460-agricultural-demand-side-management-agdsm-programme?country=India&page=5&qs=indi,,211000144_ref1,False
211000145,1,http://unfccc.int/files/national_reports/non-annex_i_natcom/application/pdf/6_bildirim_eng_11_reducedfilesize.pdf,,pdf,211000145_ref1,True
211000146,1,http://www.china.org.cn/china/LegislationsForm2001-2010/2011-02/12/content_21907969.htm,,html,211000146_ref1,True
211000147,1,https://www.iea.org/policies/7972-agriculture-within-the-scope-of-rural-development-supportscommunique-on-investments-communique-no-201722?country=Turkey&page=1&qs=turkey,429 Client Error: Too Many Requests for url: https://www.iea.org/policies/7972-agriculture-within-the-scope-of-rural-development-supportscommunique-on-investments-communique-no-201722?country=Turkey&page=1&qs=turkey,,211000147_ref1,False
211000148,1,https://agenceurope.eu/en/bulletin/article/9066/31,,html,211000148_ref1,True
211000149,1,https://www.iea.org/policies/707-air-conditioning-system-inspections,,html,211000149_ref1,True
211000150,1,http://www.iea-coal.org.uk/documents/82549/9446/Japan,404 Client Error: Not Found for url: https://www.iea-coal.org.uk/documents/82549/9446/Japan,,211000150_ref1,False
211000151,1,http://legislative.gov.in/sites/default/files/A1981-14.pdf,403 Client Error: Forbidden for url: https://www.legislative.gov.in/sites/default/files/A1981-14.pdf,,211000151_ref1,False
211000152,1,https://www.gov.za/documents/national-environment-management-air-quality-act,,html,211000152_ref1,True
211000154,1,http://transportpolicy.net/index.php?title=China:_Air_Quality_Standards,,html,211000154_ref1,True
211000155,1,http://transportpolicy.net/index.php?title=US:_Air_Quality_Standards,,html,211000155_ref1,True
